순번,기관명,행사명,주관기관명,행사지역,행사장소,기술 분류,해시태그,행사기간-시작일,행사기간-종료일
1,홍보협력팀,2023 연구개발특구 신년인사회,연구개발특구진흥재단,대덕특구,대전 DCC,기타,#신년인사회 #신년회 #대덕특구 #50주년,2023-01-30,2023-01-30
2,연구개발특구진흥재단,환경기후분야 국내외 R&BD 활성화를 위한 심포지움 개최,인천대학교 환경공학과,과학벨트,경원재 엠배서더(인천 송도),"ET,기타",#환경 #기후변화 ,2023-01-12,2023-01-12
3,연구개발특구진흥재단,대구디지털혁신진흥원 2023년 지원사업 설명회,(재)대구디지털혁신진흥원,대구특구,온라인,기타,#유관기관 #설명회 #지원사업,2023-01-19,2023-01-19
4,연구개발특구진흥재단,제6차 지방과학기술진흥종합계획 및 지역별 과학기술계획 공유회,한국과학기술기획평가원(KISTEP),부산특구,부산 아스티호텔,기타,#과학기술,2023-01-11,2023-01-11
5,특구재단 전북특구본부,전북대학교 2023 LINC 산학연협력페스티벌,전북대학교,전북특구,전북대학교 중앙도서관 LINC 라운지,기타,#전북대학교 #JBNU #산학연 #기술사업화,2023-01-12,2023-01-13
6,연구개발특구진흥재단,제14회 INNOPOLIS AI 세미나,연구개발특구진흥재단,대덕특구,온라인,IT,#연구개발특구 #인공지능 #AI #역량강화 #세미나 #SPACE-S #NVIDIA,2023-01-25,2023-01-25
7,전북특구본부 기술사업화팀 ,우수 기술개발제품 인증 지원제도 교육,"전북특구본부, 전북대링크사업단 등 ",전북특구,전북대학교 국제컨벤션센터 세미나실4,기타,#연구개발특구 #기술사업화 #신기술인증 #교육 #NEP #NET #조달,2023-01-17,2023-01-17
8,연구개발특구진흥재단,제 1차 연구행정혁신연구회 운영위 개최 ,연구개발특구진흥재단 ,대덕특구,한국화학연구원 디딤돌플라자 2층 회의실 ,기타,#전문성 #연구행정 ,2023-01-17,2023-01-17
9,연구개발특구진흥재단,기술이전우수사례연구회 ,연구개발특구진흥재단 ,대덕특구,대전테크비즈센터 1층 콜라보홀 ,ST,#비행역학 #인공위성 #우주경제 #과학기술 #엑셀러레이팅,2023-01-18,2023-01-18
10,연구개발특구진흥재단,부산연구개발특구 지정변경 개발계획(안) 공청회,부산광역시,부산특구,부산역 유라시아플랫폼 회의실,기타,#지정변경 #공청회,2023-01-27,2023-01-27
11,연구개발특구진흥재단,부산대학교 온라인 AI/빅데이터 토크 콘서트 개최,부산대학교,부산특구,온라인,IT,#빅데이터 #AI #부산,2023-01-20,2023-01-20
12,연구개발특구진흥재단 과학벨트육성팀,기술사업화 중개연구 세미나,비즈니스전략연구소,강소특구,특구재단 중회의실(1층),BT,#연구개발특구 #과학벨트 #기초과학 #과학사업화 #중개연구 #바이오,2023-01-17,2023-01-17
13,연구개발특구진흥재단 광주특구본부 기술사업화팀,30th 오픈업 세미나,"벤처스퀘어, 엑센트리벤처스, 광주연구개발특구본부, 한국무역협회, 한국초기투자기관협회",광주특구,서울시 강남구 삼성동 코엑스 2층 스타트업 브랜치,기타,#스타트업 생태계 #기술트랜드,2023-01-17,2023-01-17
14,연구개발특구진흥재단,광주특구 첨단기술기업 협의회(8차),광주연구개발특구본부,광주특구,광주이노비즈센터 대회의실2,"IT,ET",#광주연구개발특구 #첨단기술기업 #스마트 #가로등 #기술사업화,2023-01-18,2023-01-18
15,과학벨트지원본부 과학벨트육성팀,2023 정부지원사업 네비게이션 in 세종BCC,"연구개발특구진흥재단, 제이엔피글로벌",강소특구,세종 BCC,기타,#연구개발특구 #과학벨트 #세종기능지구 #세종BCC #정부지원사업,2023-01-18,2023-01-18
16,연구개발특구진흥재단,한국수자원공사 혁신기술의 특허를 말하다!,연구개발특구진흥재단,대덕특구,유튜브,기타,#혁신기술 #특허,2023-01-27,2023-01-27
17,한남대학교 이노폴리스캠퍼스사업단,창업아이템 검증을 위한 사업계획서 작성 세미나&워크숍 참가자 모집,한남대학교 이노폴리스캠퍼스사업단,대덕특구,한남대학교 경상대학 50349호,기타,#창업,2023-02-09,2023-02-09
18,연구개발특구진흥재단,대덕특구 50주년 기념행사 추진위원회 출범식,연구개발특구진흥재단,대덕특구,연구개발특구진흥재단,기타,#50주년 #대덕특구 #출범식,2023-01-31,2023-01-31
19,금오공과대학교 경북구미 강소특구육성사업단,경북 구미 강소연구개발 특구 2023 기술창업 아이디어 경진대회,경북구미 강소특구육성사업단,과학벨트,구미시 호텔 금오산 (경북 구미시 금오산로 400),기타,#창업 #예비창업 #경북구미 강소특구 #경진대회 #기술창업,2023-02-02,2023-02-03
20,특구재단 전북특구본부,2023년 전북청년경제인협회 신년인사회,전북청년경제인협회,전북특구,전북테크비즈센터 1층 대회의실,기타,#전북청년 #경제인협회 #청년경제인,2023-01-19,2023-01-19
21,특구재단 전북특구본부,이차전지 특화단지 지정 소통간담회 행사,"전라북도, 새만금개발청",전북특구,전북테크비즈센터 2층,기타,#이차전지 #전라북도 ,2023-01-19,2023-01-19
22,전북특구 기술사업화팀,이노폴리스 혁신스타트업 IR 행사,전북연구개발특구,전북특구,외국인창업연구지원센터(서울 서초구),기타,#스타트업 #IR #기술금융,2023-01-26,2023-01-26
23,연구개발특구진흥재단,천안BCC 성과공유 네트워크,연구개발특구진흥재단,강소특구,천안SB플라자 2층 대회의실,기타,#성과공유 #네트워크 #천안BCC,2023-01-31,2023-01-31
24,연구개발특구진흥재단,2023년 우수특허 사업화 성과 공유회 및 유관기관 협의회,한국발명진흥회 광주지부,광주특구,라마다프라자 제주 호텔 세미나실,기타,#전문성 #기술사업화 #과학기술,2023-01-30,2023-01-31
25,대덕특구,INNO Entrepreneurship Up Program (기업가정신 함양 프로그램),연구개발특구진흥재단,대덕특구,D SQUARE (사이언스센터18층),기타,#기업가정신 #기업가정신강연 #창업캠핑 #창업도전,2023-02-21,2023-02-21
26,전북특구 기술사업화팀,2023 전북R&D 지원사업 통합설명회,전북테크노파크,전북특구,유튜브 온라인중계,기타,#전라북도 #R&D #지원사업,2023-02-07,2023-02-07
27,연구개발특구진흥재단,바이오·의료 기초연구성과 사업화 촉진을 위한 2023 과학벨트 중개연구 교류회,연구개발특구진흥재단,강소특구,대덕테크비즈센터 1층 콜라보홀,"IT,BT,NT,기타",#연구개발특구 #과학기술 #기초연구 #중개연구 #기술사업화,2023-01-31,2023-01-31
28,연구개발특구진흥재단 대구특구본부,스타트업 프런티어 아카데미(기술창업 실무교육),대구경북지역혁신플랫폼 전자정보기기사업단,대구특구,대구스케일업허브 DASH(오프라인) 및 ZOOM(온라인),기타,#스타트업 #기술창업 #창업지원,2023-02-20,2023-02-24
29,전북특구 기술사업화팀,2023년 13기 전북청년창업사관학교 입교설명회 개최,중소벤처기업진흥공단,전북특구,전북청년창업사관학교,기타,#전북청년 #창업 #설명회 #중소벤처,2023-01-17,2023-02-02
30,특구재단 강소특구육성1팀,2022년 충남 천안아산 강소특구 성과발표회,한국자동차연구원,과학벨트,"라마다앙코르바이윈덤 천안, 20층 라마다홀",기타,#연구개발특구 #전문성 #과학기술 #기술사업화,2023-02-08,2023-02-08
31,대덕연구개발특구기관장협의회,2월 대덕혜윰포럼 ,대덕연구개발특구기관장협의회,대덕특구,한국화학연구원 디딤돌프라자 4층 강당,기타,#국가지식재산위원회 #지식강국 #비젼,2023-02-15,2023-02-15
32,연구개발특구진흥재단 대구특구본부,CES로 바라보는 기술동향 및 시사점,대구경북지방중소벤처기업청,대구특구,대구경북중소벤처기업청 3층 강당,기타,#CES #기술동향 #박람회,2023-02-09,2023-02-09
33,연구개발특구진흥재단 대구특구본부,대구시 중장년 성공취업 아카데미,대구광역시,대구특구,"대구고용복지플러스센터 5층 회의실(구,MBC 옆)",기타,#일자리 #성공취업 #아카데미,2023-02-21,2023-02-21
34,연구개발특구진흥재단,2023년 전북R&D 지원사업 통합설명회,"특구진흥재단, 전북테크노파크",전북특구,유투브 온라인 중계,기타,#사업설명회 #통합설명회 #R&D #지원사업,2023-02-07,2023-02-07
35,연구개발특구진흥재단,양자컴퓨터와 첨단기술의 미래,최종현학술원,대덕특구,온라인,IT,#양자컴퓨터 #첨단기술,2023-02-10,2023-02-10
36,연구개발특구진흥재단,전북 군산 강소연구개발특구 2022년도 성과발표회,군산대학교,과학벨트,군산 새만금컨벤션센터,"IT,ET,NT",#강소특구 #전기차 #부품소재 #군산 #성과발표,2023-02-27,2023-02-27
37,강소특구육성2팀,2023 경북 구미 강소특구 테크페어(성과공유회),금오공과대학교 강소특구육성사업단,과학벨트,구미코(구미컨벤션센터),기타,#강소연구개발특구 #성과공유회,2023-02-16,2023-02-17
38,연구개발특구진흥재단,2023년 대덕특구 특구육성사업 사업설명회 ,연구개발특구진흥재단 대덕특구본부,대덕특구,유튜브 온라인 설명회,"IT,BT,CT,ET,NT,ST,기타",#국정과제,2023-02-22,2023-02-22
39,연구개발특구진흥재단,On세상 시즌2 - 온통 live 국정과제,국가공무원인재개발원,대덕특구,온라인,기타,#경제전망 #환율,2023-02-22,2023-02-22
40,강소특구육성2팀,2023년 경북 포항강소특구 연구소기업 네트워킹 데이,포항강소특구육성센터,과학벨트,포항 체인지업그라운드(포항공과대학교),기타,#강소연구개발특구 #연구소기업 #네트워킹,2023-02-22,2023-02-22
41,연구개발특구진흥재단,2023 대구연구개발특구 사업설명회,연구개발특구진흥재단 대구특구본부,대구특구,대구은행 제2본점 2층 대강당,기타,#연구개발특구 #기술사업화 #사업설명회,2023-02-22,2023-02-22
42,연구개발특구진흥재단 강소특구육성2팀,2023년 이노폴리스캠퍼스 성과보고회(울산울주특구) with 투자상담회,울산과학기술원,과학벨트,UNISPARK(울산과학기술원),기타,#강소연구개발특구 #이노폴리스캠퍼스 #창업 #성과보고회 #투자상담,2023-02-24,2023-02-24
43,연구개발특구진흥재단 강소특구육성2팀,울산 울주강소특구 2022 성과보고회,울산과학기술원,과학벨트,울산과학기술원 경동홀,기타,#강소연구개발특구 #성과공유회,2023-03-03,2023-03-03
44,연구개발특구진흥재단,제 8차 기술사업화 우수사례연구회 개최 안내 ,"연구개발특구진흥재단 , 한국연구소기술이전협회",대덕특구,대전테크비즈센터 1층 콜라보홀 ,기타,#공공기술사업화 #우수사례 #기술사업화전략,2023-02-21,2023-02-21
45,연구개발특구진흥재단,"대덕특구 혁신기술네트워크 특허포럼 ""P, tube"" : 한국기초과학지원연구원 특허기술 소개 및 매칭 ","연구개발특구진흥재단, 대덕넷 ",대덕특구,특구재단 유튜브 채널 ,BT,#공공기술 #kbsi #특허포럼,2023-02-24,2023-02-24
46,연구개발특구진흥재단,2023 정부지원사업 네비게이션 in 세종 BCC,연구개발특구진흥재단,강소특구,고려대학교 세종캠퍼스,기타,#정부지원사업 #네비게이션,2023-02-22,2023-02-22
47,연구개발특구진흥재단,2023년 광주연구개발특구 온라인 사업설명회,연구개발특구진흥재단,광주특구,온라인(특구재단 유튜브),기타,#연구개발특구 #기술사업화 #사업설명회,2023-02-21,2023-02-21
48,연구개발특구진흥재단,"연구개발특구진흥재단-한국보건산업진흥원, 2023년 바이오·의료 유망기술 설명회 ","연구개발특구진흥재단, 한국보건산업진흥원",강소특구,"서울 코엑스 300호(설명회장), 304·305호(상담회장)",BT,#연구개발특구진흥재단 #한국보건산업진흥원 #바이오 #의료 #기술 #설명회,2023-02-28,2023-02-28
49,국립중앙과학관,제58기 전통과학대학 개설,국립중앙과학관,대덕특구,국립중앙과학관 세미나실 등,기타,#국립중앙과학관 #전통과학대학,2023-03-09,2023-06-15
50,두호특허법인,NST-정부출연연구기관 사업화 유망기술페어 2023,공동TLO 마케팅 사무국,대덕특구,서울 서초구 양재동 강남대로 AT센터 3층 세계로룸Ⅰ (301호),기타, #기술이전 #정부지원 #기술설명회,2023-03-14,2023-03-14
51,전북창조경제혁신센터,2023 전라북도 창업정책 한마당 행사,전북창조경제혁신센터,전북특구,전북테크비즈센터 1층,기타,#전라북도 #창업 #창업정책 #지원사업,2023-03-07,2023-03-07
52,연구개발특구진흥재단,넥스트라운드 in 대전,"산업은행, 연구개발특구진흥재단, 대전창조경제혁신센터",대덕특구,연구개발특구진흥재단 컨퍼런스홀,기타,#연구개발특구 #산업은행 #대전창조경제혁신센터 #넥스트라운드 #투자IR,2023-02-23,2023-02-23
53,대덕특구,INNO Entrepreneurship Up Program (기업가정신 함양 프로그램),연구개발특구진흥재단,대덕특구,D SQUARE (사이언스센터18층),기타,#기업가정신 #기업가정신강연 #창업캠핑 #창업도전,2023-02-21,2023-03-28
54,연구개발특구진흥재단,제1회 KERI 포럼,한국전기연구원,대덕특구,한국전기연구원 본관동 1층 강,기타,#KERI,2023-03-07,2023-03-07
55,연구개발특구진흥재단,부산진해경제자유구역 입주기업 대상 ESG 설명회,부산진해경제자유구역청,부산특구,국회부산도서관 영상세미나실(2층),기타,#ESG #부산특구 #ESG경영,2023-03-14,2023-03-14
56,연구개발특구진흥재단,국제 가치평가 컨퍼런스(IVS 2023) 안내,한국과학기술정보연구원,대덕특구,대전 UST 오디토리움,기타,#기술가치평가,2023-03-21,2023-03-22
57,연구개발특구진흥재단,대덕특구 3월 스파클클럽 개최 : AI시대 게임체인저 Chat GPT 과학계 미래는 ,"연구개발특구진흥재단, 한국엔젤투자협회, 대덕넷 ",대덕특구,TBC 1층 콜라보홀 ,"IT,기타",#대덕특구 #AI #Chat GPT,2023-03-13,2023-03-13
58,연구개발특구진흥재단,제 3차 대덕특구 혁신기술네트워크 연구행정혁신연구회 ,"연구개발특구진흥재단, 대덕넷 ",대덕특구,한국화학연구원 디딤돌플라자 2층 회의실 ,기타,#대덕특구 #혁신기술네트워크 #연구행정,2023-03-14,2023-03-14
59,연구개발특구진흥재단,대덕특구 혁신기술네트워크 바이오헬스 연구회: 바이오특허 법률지식 공유 ,"연구개발특구진흥재단, 바이오아이코어사업단, 대덕넷 ",대덕특구,온라인 ,BT,#대덕특구 #혁신기술네트워크 #바이오헬스,2023-03-16,2023-03-16
60,연구개발특구진흥재단,딥테크 창업 출연연 현장간담회,연구개발특구진흥재단,대덕특구,한국화학연구원,기타,#딥테크 #창업 #출연연 #연구소창업,2023-03-16,2023-03-16
61,연구개발특구진흥재단,제 9차 대덕특구 기술사업화 우수사례연구회 ,"연구개발특구진흥재단 , 한국연구소기술이전협회",대덕특구,대덕테크비즈센터(TBC) 407호 ,BT,#대덕특구 #기술사업화,2023-03-22,2023-03-22
62,연구개발특구진흥재단,KFE 2050 비전선포식,한국핵융합에너지연구원,대덕특구,온라인,ET,#KFE #비전선포식,2023-03-14,2023-03-14
63,KAIST,[KAIST 문화행사] 피아니스트 안톤 게르첸베르크 초청 리사이틀 (게자 안다 피아노 콩쿠르 우승자),KAIST,대덕특구,KAIST 대강당 [E15],기타,#카이스트 #공연 #콩쿠르,2023-03-21,2023-03-21
64,KAIST,[KAIST 문화행사] 춘앵 박경소 가야금,KAIST,대덕특구,카이스트 대강당[E15],기타,#카이스트 #공연 #퓨전국악,2023-03-24,2023-03-24
65,대전세종연구원,2023년 제1차 대세다담 포럼,대전세종연구원,대덕특구,"커먼즈필드, 모두의 공터(구 충남도청) / 대전세종연구원 유튜브",기타,#우주개발 #우주경제 #우주개발2.0 #대전세종연구원,2023-03-22,2023-03-22
66,연구개발특구진흥재단,"대덕특구 혁신기술네트워크 특허포럼 ""P, tube"" : 한국표준과학연구원 편 ","연구개발특구진흥재단, 대덕넷 ",대덕특구,특구재단 유튜브 ,"IT,BT,NT",#대덕특구 #혁신기술네트워크 #특허,2023-03-28,2023-03-28
67,대전상공회의소,대덕특구 50주년 기념 특별세미나 : 기업 및 지역경제 관점에서의 특구와 상생 협력 방안,대전상공회의소,대덕특구,대전상공회의소,기타,#연구개발특구 #대덕특구 #50주년기념 #특별세미나,2023-03-29,2023-03-29
68,연구개발특구진흥재단,제16회 INNOPOLIS AI 세미나,연구개발특구진흥재단,대덕특구,온라인 세미나,IT,#AI세미나 #INNPOLISAI #대덕특구 #인공지능세미나 #AI모델 #연구개발특구 #AI기술트렌드 #전문성,2023-03-29,2023-03-29
69,연구개발특구진흥재단,특구재단X교보생명그룹 대중소 상생협력을 위한 Tech&Biz Fair,연구개발특구진흥재단(과학벨트육성팀),강소특구,교보생명그룹 본사 23층 대산홀/세미나실,"IT,BT,CT,ET,NT,ST,기타",#연구개발특구 #교보생명 #대중소연계 #오픈이노베이션 #기술설명회 ,2023-03-29,2023-03-29
70,연구개발특구진흥재단,2023년 경력단절자 AI 및 SW 교육생 모집 공고,한국생산성본부,대구특구,KPC자격대구지역센터,"IT,기타",#전문성#과학기술 #교육 #ICT,2023-04-20,2023-04-20
71,충남대학교 도서관경영연구소 관평도서관, 관평도서관 「정오의 북콘서트」,관평도서관 <충남대학교 도서관경영연구소>,대덕특구,관평동 930광장,기타,#연구개발특구 #북콘서트 #대덕특구,2023-05-19,2023-05-19
72,강소특구육성1팀,2023년 강소특구 합동 릴레이 기술이전 설명회 ,강원대학교,과학벨트,강원대학교 60주년 기념관 국제회의실,BT,#연구개발특구 #강소특구 #기술이전설명회 #기술이전 #바이오기술,2023-04-06,2023-04-06
73,주식회사 마이스피플,제50회 2023 봄 사이언스데이,국립중앙과학관,대덕특구,국립중앙과학관,기타,#사이언스데이,2023-04-21,2023-04-22
74,연구개발특구진흥재단,2023 대청호 대덕뮤직페스티벌,대덕구청,대덕특구,대청호 대청공원,기타,#대덕 #뮤직페스티벌,2023-04-08,2023-04-09
75,연구개발특구진흥재단,뮤지컬 DIVA 공연,충청뉴스,대덕특구,대전예술의전당,기타,#연구개발특구,2023-03-31,2023-04-02
76,연구개발특구진흥재단,2023 대한민국 과학축제,"과기정통부 , 대전광역시, 한국과학창의재단",대덕특구,대전 엑스포시민광장 및 엑스포과학공원 일원,"IT,BT,CT,ET,NT,ST,기타",#연구개발특구 #과학기술,2023-04-27,2023-04-30
77,연구개발특구진흥재단,2023 꿈꾸는 노벨 과학교실 시즌1,대전시 유성구청,대덕특구,"관평도서관, 송강마을 작은도서관",기타,#과학교실,2023-03-07,2023-04-27
78,연구개발특구진흥재단,제11회 전국 꿈나무가족 과학 골든벨 대회,"대전시 유성구청, KAIST 과학영재교육연구원",대덕특구,KAIST 류근철스포츠컴플렉스,기타,#전국 #과학 #골든벨,2023-04-29,2023-04-29
79,연구개발특구진흥재단,탄소중립 과학캠프 참가자 모집,대덕구청,대덕특구,대청호로하스캠핑장,기타,#탄소중립,2023-04-22,2023-04-23
80,연구개발특구진흥재단,리틀 생명공학자(Open Lab 프로그램),한국생명공학연구원,대덕특구,한국생명공학연구원,BT,#생명공학자,2023-04-06,2023-09-28
81,연구개발특구진흥재단,한국생명공학연구원과 함께하는 BIO톡톡!,한국생명공학연구원,대덕특구,한국생명공학연구원,BT,#생명공학,2023-04-07,2023-10-27
82,연구개발특구진흥재단,2023년 과학 어울림마당 걷기대회,"대덕연구개발특구기관장협의회, 과학기술출연기관장협의회, 대덕넷",대덕특구,한밭수목원 및 대전엑스포시민광장,기타,#걷기대회 #과학기술 #엑스포시민광장 #연기협 #과출협,2023-04-29,2023-04-29
83,연구개발특구진흥재단,제12회 과학사랑 음악회,"대전광역시청, 대전시립교양악단",대덕특구,대전예술의전당,기타,#과학사랑 #음악회,2023-04-20,2023-04-20
84,연구개발특구진흥재단,대덕특구 50주년 출연연 주말개방,한국표준과학연구원,대덕특구,"한국표준과학연구원, 한국화학연구원, 한국생명공학연구원, 한국기계연구원",기타,#출연연 #주말개방,2023-04-02,2023-11-30
85,연구개발특구진흥재단,2023 봄 사이언스데이(50회),국립중앙과학관,대덕특구,국립중앙과학관,기타,#봄 #사이언스데이,2023-04-21,2023-04-22
86,연구개발특구진흥재단,2023 가을 사이언스데이(제51회),국립중앙과학관,대덕특구,국립중앙과학관,기타,#가을 #사이언스데이,2023-09-16,2023-09-17
87,연구개발특구진흥재단,한국지질자원연구원 지구사랑 미술대회,한국지질자원연구원 ,대덕특구,한국지질자원연구원,기타,#지질자원연구원 #지구사랑 #미술대회,2023-04-22,2023-04-22
88,연구개발특구진흥재단,대전시민천문대 별축제,대전시민천문대,대덕특구,대전엑스포시민광장 및 대전시민천문대 일원,기타,#시민천문대 #별축제,2023-04-27,2023-04-30
89,연구개발특구진흥재단,대덕특구 혁신기술네트워크 바이오헬스 연구회: 수술 중 실시간 암 판독이 가능할까 ,"연구개발특구진흥재단, 대덕넷, 바이오아이코어사업단 ",대덕특구,온라인 ,BT,#연구개발특구 #기술사업화 #바이오헬스 #생검 #광학 #생체조직 #조직검사,2023-04-14,2023-04-14
90,연구개발특구진흥재단,제 10차 기술사업화 우수사례연구회 개최 안내 ,"연구개발특구진흥재단 , 한국연구소기술이전협회",대덕특구,대덕테크비즈센터(TBC) 콜라보홀(102호),기타,#기술사업화 #우수사례연구회,2023-04-18,2023-04-18
91,연구개발특구진흥재단,2023년 과학정보통신의날 기념식,"과기정통부, 방송통신위원회",대덕특구,한국과학기술회관,"IT,BT,CT,ET,NT,ST,기타",#과학정보통신의 날,2023-04-21,2023-04-21
92,연구개발특구진흥재단 강소특구육성2팀,2023년 강소특구 합동 릴레이 기술이전 설명회,금오공과대학교,과학벨트,대덕테크비즈센터(TBC) 콜라보홀,ET,#연구개발특구 #강소특구 #기술이전설명회 #기술이전 #에너지환경기술,2023-04-12,2023-04-12
93,연구개발특구진흥재단,시공간으로 떠나는 영화여행,국립중앙과학관,대덕특구,국립중앙과학관 창의나래관,기타,#영화여행,2023-04-29,2023-04-29
94,연구개발특구진흥재단,시공간으로 떠나는 영화여행,국립중앙과학관,대덕특구,국립중앙과학관 창의나래관,기타,#영화여행,2023-05-27,2023-05-27
95,연구개발특구진흥재단,시공간으로 떠나는 영화여행,국립중앙과학관,대덕특구,국립중앙과학관 창의나래관,기타,#영화여행,2023-06-24,2023-06-24
96,연구개발특구진흥재단,대덕특구 50주년 기념 웹툰 사연(주제) 공모전,연구개발특구진흥재단,대덕특구,온라인,기타,#대덕특구 #50주년 #웹툰,2023-04-17,2023-04-17
97,연구개발특구진흥재단,2023 대청호 벚꽃길 마라톤 대회,"충청투데이, 대전시 동구청",대덕특구,대청호 주변,기타,#마라톤,2023-04-08,2023-04-08
98,연구개발특구진흥재단,대덕에서 과학을 그리다,동아일보,대덕특구,대전 한밭 수목원,기타,#대덕 #과학,2023-06-17,2023-06-17
99,연구개발특구진흥재단 강소특구육성2팀,강소특구 합동 릴레이 기술이전 설명회,울산과학기술원,과학벨트,울산과학기술원 대학본부 4층 경동홀,IT,#연구개발특구 #강소특구 #기술이전설명회 #기술이전 #첨단모빌리티기술,2023-04-18,2023-04-18
100,연구개발특구진흥재단,혁신기술네트워크 특허포럼 P-Tube(6회차) - 동의대학교 편,연구개발특구진흥재단,대덕특구,온라인,"ET,NT",#혁신기술네트워크 #특허포럼,2023-04-24,2023-04-24
101,연구개발특구진흥재단,출연(연) 테크노믹스 오디션,"과기정통부, 국가과학기술연구회",대덕특구,V. space(서울 을지로),"IT,BT,CT,ET,NT,ST",#테크노믹스,2023-04-12,2023-04-12
102,연구개발특구진흥재단,제13회 과학문화 혁신포럼 'ChatGPT가 가져올 과학 소통의 미래',한국과학창의재단,대덕특구,IBS 과학문화센터 2층 대강당,IT,과학문화 #혁신포럼 #ChatGPT,2023-04-28,2023-04-28
103,연구개발특구진흥재단,대덕특구 50주년 쇼츠 영상 공모전,대전과학산업진흥원,대덕특구,온라인,기타,#대덕특구 #50주년 #쇼츠,2023-05-24,2023-05-24
104,연구개발특구진흥재단,대덕특구 벤처·연구소기업의 상장지원을 위한 코스닥 코넥스 상장설명회,"한국거래소, 대덕이노폴리스벤처협회",대덕특구,대덕테크비즈센터 콜라보홀(대전 유성구 대덕대로 593 TBC 1층 102호),"IT,BT,CT,ET,NT,ST,기타",#연구개발특구 #상장지원 #연구소기업 #특구기업 #기술사업화,2023-05-10,2023-05-10
105,특구재단 강소특구육성1팀,강소특구 스마트 IT 분야 우수기술 설명회,연구개발특구진흥재단,과학벨트,서울 The-K 호텔,IT,#강소특구 #스마트 IT #우수기술,2023-04-26,2023-04-26
106,대한수학회,2023년 대한수학회 봄 연구발표회(대중강연),대한수학회,대덕특구,대전컨벤션센터 제1전시장,"IT,기타",#연구개발특구#인공지능#수학,2023-04-27,2023-04-29
107,연구개발특구진흥재단,대전시민천문대 어린이날 행사,대전시민천문대,대덕특구,대전시민천문대,기타,#대전시민천문대,2023-05-05,2023-05-05
108,연구개발특구진흥재단,KAIST와 함께하는 유성으로 떠나는 과학여행,유성구청,대덕특구,KAIST,기타,#KAIST #유성 #과학여행,2023-05-13,2023-05-14
109,연구개발특구진흥재단,"어린이날 기념 '과학으로 꿈 키워, 봄'",국립중앙과학관,대덕특구,국립중앙과학관,IT,#어린이날 #과학,2023-05-05,2023-05-07
110,연구개발특구진흥재단,유성 온천문화축제,유성구청,대덕특구,대전 유성구 온천거리 일원,기타,#유성 #온천문화,2023-05-12,2023-05-14
111,연구개발특구진흥재단,2023 제1회 과학신기전,국립중앙과학관,대덕특구,국립중앙과학관 과학기술관 1층,"IT,ET",#과학신기전,2023-04-25,2023-05-14
112,연구개발특구진흥재단,"대덕특구 4월 스파클클럽 개최 :유전자가위 기술사업화 기업방문, (주)진코어 ","연구개발특구진흥재단, 대덕넷 ",대덕특구,(주)진코어 (한국생명과학연구원內 위치) ,BT,#대덕특구 #스파클클럽 #개최,2023-04-28,2023-04-28
113,연구개발특구진흥재단,IBS Art in Science,한국기초과학연구원,대덕특구,IBS 과학문화센터,기타,#IBS,2023-04-27,2023-05-05
114,연구개발특구진흥재단,IBS 과학도서관 북토크 & 영화이야기 과학자의 서제속으로,한국기초과학연구원,대덕특구,IBS 과학문화센터 1층,기타,#IBS #과학도서관 #북토크,2023-04-26,2023-04-26
115,연구개발특구진흥재단,IBS 과학도서관 북토크 & 영화이야기 사이언스 인더 시네마 루프,한국기초과학연구원,대덕특구,IBS 과학문화센터 1층,기타,#IBS #과학도서관 #북토크,2023-05-31,2023-05-31
116,연구개발특구진흥재단,IBS 과학도서관 북토크 & 영화이야기 과학자의 서제속으로,한국기초과학연구원,대덕특구,IBS 과학문화센터 1층,기타,#IBS #과학도서관 #북토크,2023-06-28,2023-06-28
117,연구개발특구진흥재단,IBS 과학도서관 북토크 & 영화이야기 과학자의 서제속으로,한국기초과학연구원,대덕특구,IBS 과학문화센터 1층,기타,#IBS #과학도서관 #북토크,2023-08-30,2023-08-30
118,연구개발특구진흥재단,IBS 과학도서관 북토크 & 영화이야기 과학자의 서제속으로,한국기초과학연구원,대덕특구,IBS 과학문화센터 1층,기타,#IBS #과학도서관 #북토크,2023-10-25,2023-10-25
119,연구개발특구진흥재단,IBS 과학도서관 북토크 & 영화이야기 사이언스 인더 시네마 루프,한국기초과학연구원,대덕특구,IBS 과학문화센터 1층,기타,#IBS #과학도서관 #북토크,2023-07-26,2023-07-26
120,연구개발특구진흥재단,IBS 과학도서관 북토크 & 영화이야기 사이언스 인더 시네마 루프,한국기초과학연구원,대덕특구,IBS 과학문화센터 1층,기타,#IBS #과학도서관 #북토크,2023-09-20,2023-09-20
121,연구개발특구진흥재단,IBS 과학도서관 북토크 & 영화이야기 사이언스 인더 시네마 루프,한국기초과학연구원,대덕특구,IBS 과학문화센터 1층,기타,#IBS #과학도서관 #북토크,2023-11-29,2023-11-29
122,연구개발특구진흥재단,대전시민천문대와 IBS/PAG가 함께하는 금성관측행사(Venusgazing at the Daejeon Civil Observatory with IBS/PAG),기초과학연구원,대덕특구,대전시민천문대,기타,#대전시민천문대 #금성관측,2023-05-17,2023-05-17
123,스트롱코리아 포럼 2023,스트롱코리아 포럼 2023,"과학기술정보통신부, 한국경제신문사",대덕특구,서울드래곤시티 3층 한라홀,"IT,기타",#과학기술,2023-05-24,2023-05-24
