순번,기관명,행사명,주관기관명,행사지역,행사장소,기술 분류,해시태그,행사기간-시작일,행사기간-종료일
754,연구개발특구진흥재단,제4회 연구소기업 Innvation Day,연구개발특구진흥재단,대덕특구,TBC 대덕,기타,#연구소기업,2023-11-28,2023-11-28
755,한국과학기술정보연구원,2023 글로벌 기술사업화 포럼,한국과학기술정보연구원,대덕특구,서울프레지던트 호텔 슈벨트홀 31층,"IT,기타",#글로벌 #기술사업화 #포럼,2023-11-07,2023-11-07
756,연구개발특구진흥재단,제11회 딥테크 혁신성장 포럼,연구개발특구진흥재단,대덕특구,D-SQUARE 973,기타,#딥테크 #혁신성장,2023-11-09,2023-11-09
757,연구개발특구진흥재단,2023 철도인공지능 현재와 미래 세미나,한국철도기술연구원,대덕특구,SKY31 CONVENTION,"IT,기타",#철도 #인공지능,2023-11-08,2023-11-08
758,연구개발특구진흥재단,2023 미래융합포럼,국가과학기술연구회,대덕특구,국립과천과학관 어울림홀,"IT,기타",#미래융합포럼,2023-11-09,2023-11-09
759,국가과학기술연구회,2023 대한민국 과학기술대전 Korea Science Technology & Fair 2023,국가과학기술연구회,대덕특구,국립과천과학관,"BT,기타",#과학기술대전,2023-11-09,2023-11-09
760,연구개발특구진흥재단,첨단소재 실증연구단지 1단계 조성 착공식,한국재료연구원,과학벨트,창원시 진해구 여좌동 924-1 내 제2재료연구원,"IT,기타",#첨단소재,2023-11-09,2023-11-09
761,연구개발특구진흥재단,2023 KRIBB 바이오 인더스트리4.0,한국생명공학연구원,대덕특구,온라인,"BT,기타",#바이오 #인더스트리,2023-11-16,2023-11-16
762,연구개발특구진흥재단,2023 WIKIM FESTIVAL,세계김치연구소,대덕특구,서울 aT센터 그랜드홀·세계로룸,기타,#FESTIVAL,2023-11-22,2023-11-22
763,연구개발특구진흥재단,지속가능 지역혁신 IMPACT START-UP DAY,연구개발특구진흥재단(지역혁신사업팀),강소특구,대덕TBC 1층 콜라보홀,"IT,ET,ST,기타",#연구개발특구 #과학기술 #임팩트투자 #IR ,2023-11-08,2023-11-08
764,연구개발특구진흥재단 대구연구개발특구본부,2023 제1회 메타버스 박람회,대구광역시,대구특구,대구 엑스코 서관 3홀,"IT,기타",#메타버스,2023-11-08,2023-11-10
765,연구개발특구진흥재단 대구연구개발특구본부,2023년 제4회 산업기술 R&D 유망기술발표회 ,한국산업기술기획평가원,대구특구,대구 엑스코 323호~325호,기타,#산업기술 #R&D,2023-11-15,2023-11-15
766,연구개발특구진흥재단 대구연구개발특구본부,2023년 디지털 헬스케어 소프트웨어 테스팅 세미나 ,한국산업기술시험원,대구특구,대구 메리어트 호텔,기타,#디지털 #헬스케어 #소프트웨어 #테스팅,2023-11-15,2023-11-15
767,연구개발특구진흥재단 대구연구개발특구본부,2023년 4차 범부처 중소기업 기술보호 설명회,대중소기업농어업협력재단,대구특구,대구텍스타일컴플렉스,기타,#범부처 #중소기업 #기술보호,2023-11-07,2023-11-07
768,연구개발특구진흥재단,화학 바이오 환경기술 아이디어 경진대회,안전성평가연구소,대덕특구,온라인,기타,#환경기술 #화학 #바이오,2023-10-30,2023-11-30
769,연구개발특구진흥재단,2023 대한민국 여성과학기술인대회,과힉기술정보통신부,대덕특구,한국과학기술회관 국제회의장 및 회의실,"IT,기타",#여성과학기술인대회,2023-11-23,2023-11-23
770,연구개발특구진흥재단,공공기관 대상 광고홍보 교육,한국방송광고진흥공사,대덕특구,온라인,기타,#광고홍보 #교육,2023-11-17,2023-11-17
771,대구특구본부,[대구특구] 대구 미래산업 유망기술이전 상담회 실시(TECH-TRANSFER SHOW),대구특구본부,대구특구,경북대학교 글로벌플라자 경하홀1,기타,#대구특구 #대구 #미래산업 #유망기술이전 #미래산업,2023-11-14,2023-11-14
772,연구개발특구진흥재단,11월 정부광고 디지털미디어 과정 교육,한국언론진흥재단,대덕특구,온라인,기타,#디지털미디어,2023-11-16,2023-11-23
773,연구개발특구진흥재단,2023년 국가중요과학기술자료 탐방 프로그램 ,국립중앙과학관,대덕특구,국립중앙과학관,기타,#국가중요과학기술자료 #탐방,2023-11-18,2023-11-18
774,연구개발특구진흥재단,임팩트 오픈포럼 : ESG 도약과 전략 세미나,비전웍스벤처스(액셀러레이터),대덕특구,비앤디파트너스(서울역),기타,#임팩트 #ESG,2023-11-10,2023-11-10
775,연구개발특구진흥재단,2023 대한민국 지방자치 경영혁신 엑스포,"행정안전부, 한국일보사",대덕특구,KINTEX,기타,#경영혁신,2023-11-16,2023-11-18
776,연구개발특구진흥재단, 2023 바이오 인천 글로벌 콘텍스,"인천광역시, KOTRA, 아시아생물공학연합체한국지회(AFOB), 인천관광공사",대덕특구,"인천광역시 송도컨벤시아 프리미어볼룸, 중소회의실","BT,기타",#글로벌,2023-11-23,2023-11-24
777,연구개발특구진흥재단,대덕특구 50주년 기념 유성 과학정책 포럼,유성구,대덕특구,유성구청 대회의실,기타,#대덕특구 #기념,2023-11-30,2023-11-30
778,연구개발특구진흥재단 강소특구육성2팀,진주강소특구 대중소 오픈이노베이션,경상국립대학교,과학벨트,GNU컨벤션센터 1층(경상국립대학교),"IT,ET,NT,기타",#강소연구개발특구 #대기업 #오픈이노베이션 #창업 #투자상담,2023-11-16,2023-11-16
779,광주연구개발특구 기획경영실,2023 전남대학교 국제 교류의 날 (CNU International Day),전남대학교,광주특구,전남대학교 용봉관(역사관),기타,#국제 교류,2023-11-10,2023-11-10
780,광주연구개발특구 기획경영실,제21회 국제광융합산업전시회 개최,한국광산업진흥회,광주특구,김대중컨벤션센터,"IT,BT,CT,ET,NT,ST",#국제광융합산업전시회,2023-11-15,2023-11-16
781,광주연구개발특구 기획경영실,2023 용봉학술제(부제: CNU Tech & Graduate Fair) 안내,전남대학교,광주특구,"전남대 용지관, 공과대학, 전남대 후문 일원",기타,#CNU ,2023-11-14,2023-11-16
782,광주연구개발특구 기획경영실,[오지다] ChatGPT 질문대회,전남대학교,광주특구,전남대학교 공과대학 코스모스홀,IT,#Chat GPT,2023-11-01,2023-11-19
783,광주연구개발특구 기획경영실,"2023년도 여수캠퍼스 “꿈을 보다, 내일을 그리다” 취·창업 박람회 개최",전남대학교,광주특구, 여수캠퍼스 실내체육관,기타,#여수캠퍼스 #취업 #창업 #박람회,2023-11-23,2023-11-23
784,광주연구개발특구 기획경영실,2023 CNU 메타버시티 콘텐츠 경진대회,전남대학교,광주특구,CNU 메타버시티,"IT,BT,기타",#콘텐츠,2023-11-13,2023-11-26
785,광주연구개발특구 기획경영실,GIST 설립 30주년 기념 <기념식 및 비전선포식> ,GIST,광주특구,지스트 오룡관,기타,#GIST #메타버시티,2023-11-16,2023-11-16
786,연구개발특구진흥재단 대구연구개발특구본부,2023년 제2회 블록체인 활성화 세미나,(재)대구디지털혁신진흥원,대구특구,(재)대구디지털혁신진흥원 1층 태양홀,기타,#GIST,2023-11-17,2023-11-17
